food,unit,kcal,protein,carb,fat,source
吐司,片,70.0,2.3,13.1,0.9,
雞蛋,顆,70.0,6.3,0.6,4.8,
牛奶,杯,150.0,8.0,12.0,8.0,
雞胸肉,g,1.6,0.31,0.0,0.04,
白飯,g,1.1,0.02,0.25,0.0,
白飯,碗,280.0,4.0,60.0,1.0,
DHA豆奶,100 g,44.0,1.7,8.0,0.5,TFDA
七味唐辛子,100 g,463.0,15.8,45.8,24.1,TFDA
七股香洋香瓜,100 g,40.0,0.6,10.5,0.1,TFDA
三合一麥片(野菜蘑菇),100 g,399.0,6.8,72.7,9.0,TFDA
三節翅(土雞),100 g,198.0,19.0,0.0,13.0,TFDA
三節翅(肉雞),100 g,222.0,17.7,0.0,16.3,TFDA
三節翅平均值,100 g,210.0,18.3,0.0,14.6,TFDA
三線磯鱸,100 g,130.0,19.0,0.6,5.4,TFDA
三角飯糰(肉鬆),100 g,219.0,5.8,36.6,5.5,TFDA
不結球萵苣平均值,100 g,16.0,1.1,2.8,0.3,TFDA
世紀芭樂,100 g,40.0,0.7,10.3,0.1,TFDA
中國對蝦,100 g,84.0,19.3,1.0,0.2,TFDA
中筋麵粉,100 g,361.0,11.5,74.1,1.3,TFDA
中脂人造奶油,100 g,674.0,0.0,1.3,76.2,TFDA
中脂保久乳,100 g,48.0,3.2,4.8,1.8,TFDA
中脂凝態發酵乳(草莓),100 g,102.0,3.7,15.7,2.7,TFDA
中脂凝態發酵乳(蘆薈),100 g,90.0,1.7,15.1,2.5,TFDA
中脂強化鮮乳(脂肪酸調整),100 g,59.0,2.0,8.6,2.0,TFDA
中脂濃稠發酵乳,100 g,82.0,2.9,12.6,2.3,TFDA
中脂濃稠發酵乳(無糖&纖維強化),100 g,74.0,3.2,10.4,2.2,TFDA
中脂濃稠發酵乳(草莓),100 g,89.0,3.1,13.0,2.7,TFDA
中脂調味乳(多穀類),100 g,67.0,2.4,7.6,3.1,TFDA
中脂調味乳(巧克力),100 g,63.0,1.9,9.2,2.0,TFDA
中脂調味乳(果汁),100 g,54.0,1.6,8.4,1.6,TFDA
中脂調味乳(維生素強化),100 g,60.0,2.0,8.6,1.9,TFDA
中脂調味乳(纖維&維生素E強化),100 g,66.0,2.4,9.3,2.1,TFDA
中脂調味乳(鈣強化),100 g,68.0,2.3,8.9,2.6,TFDA
中脂調味保久乳(巧克力),100 g,60.0,1.9,9.3,1.7,TFDA
中脂調味保久乳(布丁),100 g,61.0,1.6,9.8,1.7,TFDA
中脂調味保久羊乳(巧克力),100 g,59.0,1.1,10.3,1.5,TFDA
中脂調味保久羊乳(果汁),100 g,75.0,2.9,9.5,2.8,TFDA
中脂鮮乳,100 g,48.0,3.1,4.8,1.9,TFDA
中脂鮮羊乳,100 g,48.0,2.7,3.9,2.4,TFDA
中鏈脂肪酸油,100 g,883.0,0.0,0.0,99.9,TFDA
九孔螺,100 g,73.0,15.0,5.8,1.0,TFDA
九層塔,100 g,27.0,2.9,4.4,0.3,TFDA
乳酪蛋糕,100 g,296.0,7.0,19.1,21.3,TFDA
乳酸球,100 g,474.0,3.8,66.1,21.7,TFDA
乳酸飲料,100 g,45.0,0.2,11.0,0.0,TFDA
乾姬松茸,100 g,294.0,34.0,46.7,2.7,TFDA
乾川耳,100 g,336.0,9.0,79.4,0.3,TFDA
乾木耳(紅耳仔),100 g,329.0,6.1,79.8,0.2,TFDA
乾木耳(黑耳仔),100 g,338.0,21.4,69.6,1.2,TFDA
乾木耳平均值,100 g,333.0,13.8,74.7,0.7,TFDA
乾柳松菇,100 g,286.0,23.5,53.5,1.9,TFDA
乾海帶,100 g,220.0,10.0,47.3,1.1,TFDA
乾海茸芯,100 g,254.0,8.4,59.1,0.2,TFDA
乾猴頭菇,100 g,311.0,12.3,64.3,3.4,TFDA
乾玉米粒,100 g,373.0,10.9,72.2,3.9,TFDA
