food,unit,perUnitServings,type,notes,kcal_per_serv,protein_g,fat_g,carb_g,source,serving_g
牛奶(全脂),杯,1.0,乳品,240ml=1份,150.0,8.0,8.0,12.0,食物代換表 2018.12,
牛奶(低脂),杯,1.0,乳品,240ml=1份,120.0,8.0,4.0,12.0,食物代換表 2018.12,
牛奶(脫脂),杯,1.0,乳品,240ml=1份,80.0,8.0,0.0,12.0,食物代換表 2018.12,
優格(無糖),杯,1.33,乳品,3/4杯=1份 → 1杯≈1.33份,120.0,8.0,4.0,12.0,食物代換表 2018.12,
起司片,片,1.0,乳品,視為1片=1份,150.0,8.0,8.0,12.0,食物代換表 2018.12,
雞胸肉,g,0.03,豆魚蛋肉,30g生重≈1份(低脂),,,,,,33.33
雞蛋,顆,1.0,豆魚蛋肉,1顆≈1份(中脂約55g),,,,,,55.0
蝦仁,g,0.02,豆魚蛋肉,50g熟重≈1份(低脂),,,,,,50.0
鮭魚,g,0.03,豆魚蛋肉,30g熟重≈1份(中脂),,,,,,33.33
牛腱,g,0.03,豆魚蛋肉,35g生重≈1份(低脂),,,,,,33.33
白飯,碗,4.0,全穀,1/4碗=1份 → 1碗=4份,,,,,,
白飯,g,0.02,全穀,40g=1份,,,,,,50.0
粥(稠),碗,2.0,全穀,1/2碗=1份 → 1碗=2份,,,,,,
麵條(熟),碗,2.0,全穀,1/2碗=1份 → 1碗=2份,,,,,,
油麵(熟),碗,2.22,全穀,1/2碗≈45g=1份 → 1碗≈2.22份,,,,,,45.0
吐司,g,0.03,全穀,30g=1份（片數大小不一，改用g）,,,,,,33.33
饅頭(中),個,3.0,全穀,1/3個=1份 → 1個=3份,,,,,,
山東饅頭,個,6.0,全穀,1/6個=1份 → 1個=6份,,,,,,
米粉(乾),g,0.05,全穀,20g乾=1份,,,,,,20.0
米粉(濕),碗,2.0,全穀,1/2碗=1份 → 1碗=2份,,,,,,
冬粉(乾),把,2.0,全穀,1/2把=1份 → 1把=2份,,,,,,
小湯圓(無餡),粒,0.1,全穀,約10粒=1份 → 1粒=0.1份,,,,,,
馬鈴薯(中),個,2.0,全穀,1/2個=1份 → 1個=2份,,,,,,
地瓜(小),個,2.0,全穀,1/2個=1份 → 1個=2份,,,,,,
高麗菜,g,0.01,蔬菜,100g=1份,25.0,1.0,0.0,5.0,食物代換表 2018.12,100.0
青江菜,g,0.01,蔬菜,100g=1份,25.0,1.0,0.0,5.0,食物代換表 2018.12,100.0
番茄(大),g,0.01,蔬菜,100g=1份,25.0,1.0,0.0,5.0,食物代換表 2018.12,100.0
香蕉(大),根,2.0,水果,大1/2根=1份 → 1根=2份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
蘋果(小),個,1.0,水果,小1個=1份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
柳丁(中),個,1.0,水果,1個=1份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
葡萄,顆,0.08,水果,13顆=1份 → 1顆≈0.0769份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
奇異果(中),個,0.67,水果,1.5個=1份 → 1個≈0.6667份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
西瓜,片,1.0,水果,1片=1份,60.0,0.0,0.0,15.0,食物代換表 2018.12,
植物油,茶匙,1.0,油脂,1茶匙=1份,45.0,0.0,5.0,0.0,食物代換表 2018.12,
花生醬,茶匙,1.0,油脂,1茶匙=1份,45.0,0.0,5.0,0.0,食物代換表 2018.12,
杏仁果,粒,0.2,油脂,5粒=1份 → 1粒=0.2份,45.0,0.0,5.0,0.0,食物代換表 2018.12,
核桃仁,粒,0.5,油脂,2粒=1份 → 1粒=0.5份,45.0,0.0,5.0,0.0,食物代換表 2018.12,
花生仁,粒,0.1,油脂,10粒=1份 → 1粒=0.1份,45.0,0.0,5.0,0.0,食物代換表 2018.12,
乳品類(全脂),份,1.0,乳品,每份：蛋白質8g、脂肪8g、醣類12g、150kcal（240ml 約一份）,150.0,8.0,8.0,12.0,食物代換表 2018.12,8.0
乳品類(低脂),份,1.0,乳品,每份：蛋白質8g、脂肪4g、醣類12g、120kcal,120.0,8.0,4.0,12.0,食物代換表 2018.12,8.0
乳品類(脫脂),份,1.0,乳品,每份：蛋白質8g、脂肪≈0g、醣類12g、80kcal,80.0,8.0,0.0,12.0,食物代換表 2018.12,8.0
豆魚蛋肉類(低脂),份,1.0,豆魚蛋肉-低脂,每份：蛋白質7g、脂肪3g、醣類≈0g、55kcal,120.0,8.0,4.0,12.0,食物代換表 2018.12,7.0
豆魚蛋肉類(中脂),份,1.0,豆魚蛋肉-中脂,每份：蛋白質7g、脂肪5g、醣類≈0g、75kcal,75.0,7.0,5.0,0.0,食物代換表 2018.12,7.0
豆魚蛋肉類(高脂),份,1.0,豆魚蛋肉-高脂,每份：蛋白質7g、脂肪10g、醣類≈0g、120kcal,120.0,7.0,10.0,0.0,食物代換表 2018.12,7.0
全榖雜糧類,份,1.0,全榖雜糧,每份：蛋白質2g、脂肪≈0g、醣類15g、70kcal,70.0,2.0,0.0,15.0,食物代換表 2018.12,2.0
蔬菜類,份,1.0,蔬菜,每份：蛋白質1g、脂肪≈0g、醣類5g、25kcal；*未做熟*,25.0,1.0,0.0,5.0,食物代換表 2018.12,1.0
水果類,份,1.0,水果,每份：蛋白質≈0g、脂肪≈0g、醣類15g、60kcal,60.0,0.0,0.0,15.0,食物代換表 2018.12,0.0
油脂與堅果種子類,份,1.0,油脂/堅果,每份：脂肪5g、45kcal（約1茶匙油或5顆杏仁）,45.0,0.0,5.0,0.0,食物代換表 2018.12,5.0
